track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
355tAo2nEqL74FFvTlwXAR,8177,2057,1525,2461,175652,65,0.604,0.258,0.724,0.0,0.125,-5.098,0.0307,83.988,4,0
4FEGLKYIfTEatQtfGLGxlu,802,800,3153,2438,169017,69,0.627,0.00583,0.618,0.0,0.0901,-8.225,0.0344,99.951,4,0
3oYzZC4WuE9Ymqcp91cGzk,7624,6526,314,2474,170413,68,0.63,0.15,0.683,0.0,0.133,-5.7,0.0307,155.927,4,0
7KRcMPOGQA0WOw0T8qeXD7,8049,1355,3765,2524,172586,64,0.489,0.662,0.515,3.84e-05,0.115,-9.14,0.0348,91.25,4,0
1ZIKpMTRPqhwAoVXWY3tXI,1263,1207,3186,2506,207973,74,0.596,0.723,0.679,0.0,0.116,-6.395,0.0394,131.912,4,0
1LtiNpTzzSX8qcvlPFLmeR,4952,5682,1271,2405,193144,69,0.8,0.0724,0.515,0.0,0.355,-5.431,0.0351,110.018,4,0
51FVpJr3WL7vvdfCa7j2jr,4613,6574,1109,2254,220160,73,0.633,0.278,0.858,0.0,0.315,-3.509,0.0356,119.998,4,0
2UikqkwBv7aIvlixeVXHWt,8398,5681,743,2438,213493,75,0.602,0.268,0.477,3.1e-05,0.173,-8.425,0.032,183.89,4,0
1irAliF0T8sLIOPJp6n7rU,6309,5458,809,2330,187683,75,0.623,0.118,0.79,0.0,0.226,-5.07,0.0473,81.949,4,0
0QULNNd9z5s35entfiiXoa,2019,1752,1159,2519,245625,69,0.612,0.00516,0.884,0.0,0.0997,-4.4,0.0459,119.991,4,0
1UYfAU2bwgjaM5rIIPQleC,2002,1740,709,2451,160839,72,0.627,0.185,0.678,0.0,0.374,-4.691,0.0294,100.032,4,0
4iXDn9pu5Q9sxv45vE8Lak,2298,1992,746,2444,165569,74,0.533,0.0553,0.855,0.0,0.335,-2.901,0.0356,102.017,4,0
472vIK1ldetTxRxG3ovaiY,2715,2325,916,2500,144533,79,0.748,0.235,0.551,0.0,0.119,-6.12,0.0349,103.953,4,0
2UBvtKeetnXn6lMnsBUrZz,1052,1061,1962,2348,185305,70,0.632,0.115,0.886,0.0,0.136,-3.986,0.054,114.951,4,0
3ySLzrN7950dpf1ncttONO,3940,3300,561,2319,193416,74,0.408,0.417,0.523,9.58e-06,0.0877,-8.001,0.0353,169.954,4,0
4wrKruoaRzt3TtdzJ9uR0F,7155,6012,2455,2500,191853,69,0.555,0.082,0.759,2.5e-06,0.114,-3.651,0.0305,152.052,4,0
7IhfjcaXuXCq20ZiAA7igK,2778,2383,1023,2423,205960,72,0.521,0.00985,0.746,0.0,0.0741,-6.173,0.0351,149.977,4,0
36CiGk9oRdwTnBDMgKEfjl,2045,4971,3283,2531,184134,76,0.787,0.101,0.641,0.00534,0.07,-7.376,0.315,182.003,4,0
2XIc1pqjXV3Cr2BQUGNBck,3864,1783,357,2449,203200,94,0.856,0.0303,0.618,0.0,0.0866,-4.892,0.286,81.993,4,0
5Km4r87BoX2qqtoprYS1gh,3870,3288,1933,2506,265240,86,0.772,0.0433,0.758,0.0,0.295,-3.891,0.0482,115.977,4,0
6tDDoYIxWvMLTdKpjFkc1B,8527,5453,1960,2455,160191,94,0.653,0.112,0.524,0.0,0.203,-9.016,0.0502,83.97,4,0
1xK1Gg9SxG8fy2Ya373oqb,685,595,2630,2460,232853,94,0.713,0.122,0.617,0.0,0.0962,-4.637,0.0887,168.021,4,0
3VvA1wSxukMLsvXoXtlwWx,3025,4036,541,2369,186133,92,0.725,0.362,0.756,0.000685,0.103,-5.013,0.0572,100.07,4,0
2dl5K2ScW7jYhAhuem06cm,5218,4405,907,2519,184506,81,0.773,0.0613,0.8,0.00403,0.0327,-3.17,0.0987,89.988,4,0
70uX4beGHc1nQikXveOknp,4409,3678,2385,2479,230728,84,0.823,0.243,0.772,0.0,0.118,-4.935,0.0591,96.001,4,0
1LXb70u8SLsvBAPWHMCTMe,4366,3646,638,2520,179004,81,0.788,0.397,0.789,0.0,0.226,-2.39,0.124,167.897,4,0
1mauYRwbpoGQX6itP2FAJC,2299,1996,2704,2502,197647,83,0.728,0.293,0.689,1.26e-05,0.109,-5.718,0.0725,170.089,4,0
6wwT3PgG3eFuKCpxzjMJFs,5922,5092,395,2515,201940,69,0.91,0.0346,0.856,0.000223,0.0624,-2.082,0.157,109.029,4,0
2TksvaRivgAEj780DgRB73,173,119,3279,2500,215891,86,0.795,0.076,0.655,1.76e-06,0.296,-3.815,0.0422,93.029,4,0
2mM3gZ0BbPwPPMelbA8vgt,4904,4158,2540,2444,289933,88,0.824,0.573,0.837,1.66e-05,0.271,-4.603,0.107,100.021,4,0
5YYW3yRktprLRr47WK219Y,2111,1848,3141,2498,218106,90,0.585,0.39,0.611,0.0,0.649,-4.132,0.288,97.041,4,0
0D75ciM842cdUMKSMfAR9y,672,582,3283,2495,186087,91,0.824,0.0221,0.545,0.00375,0.097,-7.127,0.0699,149.912,4,0
41BzKiCrKpUQHS3TP0jmdr,273,5,2378,2494,176970,83,0.664,0.123,0.665,0.0,0.411,-3.616,0.0879,173.961,4,0
73O30uMI7n6DuzBmbtO7kC,468,3542,254,2490,206586,86,0.817,0.046,0.737,1.57e-05,0.092,-5.453,0.102,93.985,4,0
21N4Buj4xsyLb218lYle61,1282,1219,3278,2419,183240,88,0.574,0.0847,0.891,0.0,0.16,-3.665,0.157,100.978,4,0
7Bk0uXKk1uPT0XuQbpFzvs,2373,3543,2258,2499,261665,86,0.849,0.407,0.701,0.0,0.112,-4.407,0.06,98.005,4,0
47EiUVwUp4C9fGccaPuUCS,2044,1774,357,2430,205090,93,0.731,0.401,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4,0
4gML4M3G4558Bt0IiLq7sq,4905,4212,4163,2513,209268,63,0.631,0.266,0.593,6.67e-05,0.1,-5.92,0.135,163.994,4,0
7vrJn5hDSXRmdXoR30KgF1,596,483,1933,2424,178946,93,0.863,0.212,0.666,0.000493,0.103,-4.158,0.152,163.908,4,0
69Y5IZuBvGyzySFt5x7kCq,4772,4035,2936,2454,236731,84,0.605,0.518,0.8,0.000128,0.0763,-3.018,0.312,92.284,4,0
1zLBsSVxETQOfINOLYvT5m,2598,5887,466,2431,222522,89,0.965,0.0206,0.485,0.0237,0.0655,-8.784,0.191,124.025,4,0
4KnLltd5UNz4c085UAr5dR,7813,6690,2290,2513,167800,77,0.747,0.0283,0.824,0.0,0.0792,-2.316,0.0738,166.005,4,0
3cNKhoBUhyuXhQTdQjOiT8,4193,3518,222,2495,157323,75,0.806,0.00624,0.67,0.17,0.119,-4.194,0.0491,103.96,4,0
